=== [2026-04-30 02:30 UTC] ===
Last review: N/A (Jira API unreachable from agent environment; first entry in log)
NOTE: Library version baseline from ticket (FBI-128) could not be fetched. Versions below reflect latest available as of 2026-04-30.

Library         | Current (in ticket) | Latest Available   | CVE / Notes
----------------|---------------------|--------------------|------------------------------------------------------
freerdp         | unknown             | 3.25.0 (2026-04-23)| CVE-2026-26965, CVE-2026-26955, CVE-2026-25954 (use-after-free), CVE-2026-33983 (DoS), CVE-2026-23530/31/32/33/83/84 — all heap overflow / code exec. CVSS 7.3 high; fixed in 3.25.0. Upgrade strongly recommended.
libvpx          | unknown             | 1.16.0 (2026-01-21)| CVE-2025-5283 fixed in v1.15.2. v1.16.0 is ABI-incompatible with 1.15.x; adds ARM SVE2/Neon + AVX512 optimizations.
FFmpeg          | unknown             | 8.1 (2026-03-16)   | Stable release. Check upstream advisory page for per-component CVEs.
libwebsockets   | unknown             | 4.5.2 (2025)       | Stack-based buffer overflow in <=4.3.6/4.4.2 (Jan 2026 advisory). Upgrade to 4.5.2 recommended.
libcurl         | unknown             | 8.20.0 (2026-04-29)| CVE-2026-1965 (auth bypass, medium) affects <=8.18.0. Fixed in 8.19.0+. 8.20.0 is latest as of today.
minizip         | unknown             | minizip-ng 4.1.0 (2026-01-21) | No CVEs noted; active maintenance continues.
libwebm         | unknown             | 1.0.0.32 (~2025-07)| No CVEs noted; last release ~July 2025.
AMF             | unknown             | 1.5.0              | Adds 4:4:4/4:2:2 chroma subsampling support. No security CVEs noted.
Opus            | unknown             | 1.6.1 (2026-01-03) | Bug-fix release over 1.6 (ML-based bandwidth extension). No security CVEs noted.
x264            | unknown             | r3222 (rev 165)    | Revision-based versioning; no security CVEs noted.
CUDA            | unknown             | 13.2.1 (2026-04-14)| 13.2.0 released March 2026; patch 13.2.1 April 14 2026. No security CVEs noted.
NV Codec SDK    | unknown             | 13.0 (2026-01)     | Blackwell GPU support, Jetson Thor encode/decode. No security CVEs noted.
zlib            | unknown             | 1.3.2 (2026-02-17) | Security audit findings addressed. No CVE IDs published.
libssh          | unknown             | 0.12.0 / 0.11.4 (2026-02-10) | CVE-2026-0964 (SCP path traversal), CVE-2026-0965 (DoS), CVE-2026-0966 (buffer underflow), CVE-2026-0967 (DoS), CVE-2026-0968 (OOB read in sftp). All fixed in 0.11.4 / 0.12.0.

