=== 2026-06-04 01:03 UTC ===
Last review: 2026-06-03 (prior log entry; Jira API blocked by sandbox egress policy)

Library       | Current (in use) | Latest Available   | CVE / Notes
freerdp       | 3.25.0           | 3.26.0             | No new release. Upgrade to 3.26.0 still pending (fixes CVE-2026-44420/44421/44422/45700).
libvpx        | 1.16.0           | 1.16.0             | No new release. CVE-2026-2447 (heap overflow, CVSS 8.8) and CVE-2026-1861 still tracked.
FFmpeg        | 7.1.2            | 8.1.1              | No new release. Upgrade URGENT: CVE-2026-40962 (CVSS 9.8), CVE-2026-30997, CVE-2026-6385 unpatched on 7.1.2.
libwebsockets | 4.5.8            | 4.5.8              | NEW: CVE-2026-10650 (DoS via lws_ssh_parse_plaintext, CVSS 6.9, pub 2026-06-02) — missed in prior entry. Patch commit 3f9f0c6 available. Apply fix.
libcurl       | 8.19.0           | 8.20.0             | No new release. In-use 8.19.0 vulnerable to CVE-2026-6276, CVE-2026-7168, CVE-2026-7009, CVE-2026-6429 (all fixed in 8.20.0). Upgrade URGENT. 8.21.0 still planned 2026-06-24 with one embargoed low-severity CVE.
minizip-ng    | 4.1.1            | 4.2.1              | No new release. Issues #936 (symlink arb-file-write) and #944 (abs-path bypass) confirmed closed upstream; no CVE IDs assigned. Upgrade to 4.2.1 pending.
libwebm       | 1.0.0.32         | 1.0.0.32           | No changes.
AMF           | 1.5.0            | 1.5.2              | No new release. Upgrade pending (requires Adrenalin 26.5.1+ driver).
Opus          | 1.6.1            | 1.6.1              | No changes. CVE-2026-40614 confirmed as PJSIP issue, not libopus — no action.
x264          | r3222            | r3223              | No new revision.
CUDA          | 13.2.1           | 13.3 (2026-05-26)  | No new release. No security CVEs.
NV Codec SDK  | 13.0             | 13.0.19            | No changes.
zlib          | 1.3.2            | 1.3.2              | No changes. CVE-2026-22184 (untgz utility only, CVSS 9.3) — monitoring for 1.3.3.
libssh        | 0.11.4           | 0.12.0             | No new release. Upgrade to 0.12.0 pending; fixes CVE-2026-0964/0965/0966/0967/0968.

=== 2026-06-03 01:03 UTC ===
Last review: 2026-06-02 (prior log entry; Jira API blocked by sandbox egress policy)

Library       | Current (in use) | Latest Available  | CVE / Notes
freerdp       | 3.25.0           | 3.26.0            | No new release since 06-02. Upgrade to 3.26.0 still pending (CVE-2026-26941..26965 fixed in 3.26.0).
libvpx        | 1.16.0           | 1.16.0            | No new release. CVE-2026-2447 (heap overflow, HIGH): Firefox/RHEL/Ubuntu now patched via distro updates; upstream 1.16.0 includes fix. Confirm shipped build is 1.16.0.
FFmpeg        | 7.1.2            | 8.1.1             | No new release (8.1.1 released 2026-06-01). New CVEs against 8.0.1: CVE-2026-30996 (OOB read), CVE-2026-30997 (improper resource dealloc), CVE-2026-30998 (heap overflow) — all fixed in 8.1.1. Upgrade URGENT: 7.1.2 still unpatched on CVE-2026-40962 (CVSS 9.8), CVE-2026-30997, CVE-2026-6385.
libwebsockets | 4.5.8            | 4.5.8             | No changes.
libcurl       | 8.19.0           | 8.20.0            | No new release. Next release (8.21.0) still planned 2026-06-24 with pending low-severity CVE. Upgrade to 8.20.0 still pending.
minizip-ng    | 4.1.1            | 4.2.1             | No changes. Issues #936 (symlink arb-file-write) and #944 (abs-path bypass) unresolved upstream. Upgrade pending.
libwebm       | 1.0.0.32         | 1.0.0.32          | No changes.
AMF           | 1.5.0            | 1.5.2             | No changes. Upgrade pending (requires Adrenalin 26.10.07.01+ driver).
Opus          | 1.6.1            | 1.6.1             | No changes.
x264          | r3222            | r3223             | No changes.
CUDA          | 13.2.1           | 13.3 (2026-05-26) | No changes. No security CVEs in 13.3.
NV Codec SDK  | 13.0             | 13.0.19           | No changes.
zlib          | 1.3.2            | 1.3.2             | No changes. CVE-2026-22184 (untgz utility only, CVSS 9.3) — not in core lib. Monitoring for 1.3.3.
libssh        | 0.11.4           | 0.12.0            | No changes. Upgrade to 0.12.0 pending; fixes CVE-2026-0964/0965/0966/0967 (path traversal, DoS, buffer underflow).

=== 2026-06-02 01:04 UTC ===
Last review: 2026-06-01 (prior log entry; Jira API blocked by sandbox egress policy)

Library       | Current (in use)     | Latest Available     | CVE / Notes
freerdp       | 3.25.0               | 3.26.0               | No new release since 06-01. Upgrade to 3.26.0 still pending (CVE-2026-44420/44421/44422 fixed in 3.26.0).
libvpx        | 1.16.0               | 1.16.0               | No new release. CVE-2026-2447 (heap overflow/DoS, HIGH) and CVE-2026-1861 (heap overflow, Chrome-fixed) remain open against shipped version.
FFmpeg        | 7.1.2                | 8.1.1                | No new release since 06-01. Upgrade URGENT: CVE-2026-40962 (CVSS 9.8), CVE-2026-30997, CVE-2026-6385 still unpatched on 7.1.2.
libwebsockets | 4.5.8                | 4.5.8                | No changes.
libcurl       | 8.19.0               | 8.20.0               | No new release since 06-01. curl 8.21.0 still on track for 2026-06-24; one low-severity CVE (no ID yet) will publish at that time. Upgrade to 8.20.0 still pending.
minizip-ng    | 4.1.1                | 4.2.1                | No new release since 06-01. Upgrade to 4.2.1 pending; issues #936 (symlink arb-file-write) and #944 (abs-path bypass) unresolved upstream.
libwebm       | 1.0.0.32             | 1.0.0.32             | No changes.
AMF           | 1.5.0                | 1.5.2                | No new release since 06-01. Upgrade pending (requires Adrenalin 26.10.07.01+ driver).
Opus          | 1.6.1                | 1.6.1                | No changes.
x264          | r3222                | r3223                | No new release since 06-01.
CUDA          | 13.2.1               | 13.3 (2026-05-26)    | No new release since 06-01. No security CVEs in 13.3.
NV Codec SDK  | 13.0                 | 13.0.19              | No changes.
zlib          | 1.3.2                | 1.3.2                | No new release. CVE-2026-22184 (CVSS 9.3) affects untgz utility only, not core lib. Monitoring for 1.3.3.
libssh        | 0.11.4               | 0.12.0               | No new release since 06-01. Upgrade to 0.12.0 pending; fixes CVE-2026-0964/0965/0966/0967 (DoS, path traversal).

=== 2026-06-01 01:03 UTC ===
Last review: 2026-05-31 (prior log entry; Jira API still blocked by sandbox egress policy)

Library       | Current (last known) | Latest Available     | CVE / Notes
freerdp       | 3.25.0               | 3.26.0               | No new release (3.27 not yet announced). Carried: upgrade to 3.26.0 pending (CVE-2026-44420/44421/44422 fixed in 3.26.0).
libvpx        | 1.16.0               | 1.16.0               | No changes. CVE-2026-2447 (heap overflow, HIGH) and CVE-2026-1861 still tracked.
FFmpeg        | 7.1.2                | 8.1.1                | No new release. Carried: upgrade URGENT — CVE-2026-40962 (CVSS 9.8), CVE-2026-30997, CVE-2026-6385 unpatched on 7.1.2.
libwebsockets | 4.5.8                | 4.5.8                | No changes.
libcurl       | 8.19.0               | 8.20.0               | No new release. curl 8.21.0 planned 2026-06-24 with one pending low-severity CVE (no ID yet). Upgrade to 8.20.0 still pending.
minizip-ng    | 4.1.1                | 4.2.1                | No changes. Symlink arb-file-write (issue #936) and abs-path bypass (issue #944) unresolved. Upgrade pending.
libwebm       | 1.0.0.32             | 1.0.0.32             | No changes.
AMF           | 1.5.0                | 1.5.2                | No changes. Upgrade pending (requires Adrenalin 26.5.1+ driver).
Opus          | 1.6.1                | 1.6.1                | No changes.
x264          | r3222                | r3223                | No changes.
CUDA          | 13.2.1               | 13.3 (2026-05-26)    | No changes. No security CVEs in 13.3; no immediate security requirement.
NV Codec SDK  | 13.0                 | 13.0.19              | No changes.
zlib          | 1.3.2                | 1.3.2                | No changes. CVE-2026-22184 (CVSS 9.3) affects untgz utility only, not core lib. Monitor for 1.3.3.
libssh        | 0.11.4               | 0.12.0               | No changes. Upgrade pending.
